tanggal,curah_hujan_DK,curah_hujan_BS,debit_sungai_m3_per_detik,tma_sungai_m,tma_kolam_m,pompa_1,pompa_2,pompa_3,banjir
2021-01-01,,,17.59,3.88,,,,,
2021-01-02,,1.5,16.61,3.78,,,,,
2021-01-03,2,8.5,16.89,3.81,,,,,
2021-01-04,6.5,3.5,23.4,4.35,,,,,
2021-01-05,5,,23.01,4.30,,,,,
2021-01-06,,1,18.57,3.93,,,,,
2021-01-07,1.5,,19.03,3.98,,,,,
2021-01-08,1.5,3,16.61,3.75,,,,,
2021-01-09,1,17,17.62,3.83,,,,,
2021-01-10,16,43.5,40.42,5.39,,,,,
2021-01-11,24,6.5,48.83,5.78,,,,,
2021-01-12,5.5,9.5,49.76,5.82,,,,,
2021-01-13,11,4,54.93,6.04,,,,,
2021-01-14,11,3.5,45.48,5.59,,,,,
2021-01-15,8,,38.47,5.22,,,,,
2021-01-16,,10.5,31.69,4.83,,,,,
2021-01-17,3.5,0,37.04,5.14,,,,,
2021-01-18,,2.5,26.61,4.48,,,,,
2021-01-19,4,1,24.72,4.35,,,,,
2021-01-20,1.5,1,21.69,4.11,,,,,
2021-01-21,1,10,21.03,4.06,,,,,
2021-01-22,8.5,1,28.62,4.61,,,,,
2021-01-23,0,,22.56,4.16,,,,,
2021-01-24,0,0,19.56,3.92,,,,,
2021-01-25,,7,21.41,4.07,,,,,
2021-01-26,12,13.5,27.38,4.50,,,,,
2021-01-27,13.5,0,36.11,5.05,,,,,
2021-01-28,0,0,28.97,4.58,,,,,
2021-01-29,0,1.5,25.63,4.36,,,,,
2021-01-30,4,1,23.53,4.20,,,,,
2021-01-31,1.5,0,21.22,4.02,,,,,
2021-02-01,0,1.5,19.59,3.88,,,,,
2021-02-02,5.5,6.5,21.15,4.01,,,,,
2021-02-03,5,2.5,24.01,4.22,,,,,
2021-02-04,0,16,21.7,4.04,,,,,
2021-02-05,18,1.5,26,4.35,,,,,
2021-02-06,7,13.5,24.05,4.21,,,,,
2021-02-07,23,37.5,33.22,4.81,,,,,
2021-02-08,26.5,10.5,46.24,5.51,,,,,
2021-02-09,11.5,1.5,33.55,4.78,,,,,
